"PaperID","Title","Authors","Abstract","SubmissionDate","OriginallyAnnounced","DOI"
"arXiv:2501.00013","Relation-Aware Equivariant Graph Networks for Epitope-Unknown Antibody Design and Specificity Optimization","Lirong Wu, Haitao Lin, Yufei Huang, Zhangyang Gao, Cheng Tan, Yunfan Liu, Tailin Wu, Stan Z. Li","Antibodies are Y-shaped proteins that protect the host by binding to specific antigens, and their binding is mainly determined by the Complementary Determining Regions (CDRs) in the antibody. Despite the great progress made in CDR design, existing computational methods still encounter several challenges: 1) poor capability of modeling complex CDRs with long sequences due to insufficient contextual information; 2) conditioned on pre-given antigenic epitopes and their static interaction with the target antibody; 3) neglect of specificity during antibody optimization leads to non-specific antibodies. In this paper, we take into account a variety of node features, edge features, and edge relations to include more contextual and geometric information. We propose a novel Relation-Aware Antibody Design (RAAD) framework, which dynamically models antigen-antibody interactions for co-designing the sequences and structures of antigen-specific CDRs. Furthermore, we propose a new evaluation metric to better measure antibody specificity and develop a contrasting specificity-enhancing constraint to optimize the specificity of antibodies. Extensive experiments have demonstrated the superior capability of RAAD in terms of antibody modeling, generation, and optimization across different CDR types, sequence lengths, pre-training strategies, and input contexts.",2024-12-14,2024-12-14,"https://doi.org/10.48550/arXiv:2501.00013"
"arXiv:2501.00187","Poisson Network SIR Epidemic Model","Josephine K. Wairimu, Andrew Gothard, Grzegorz A. Rempala","We extend the classical Susceptible-Infected-Recovered (SIR) model to a network-based framework where the degree distribution of nodes follows a Poisson distribution. This extension incorporates an additional parameter representing the mean node degree, allowing for the inclusion of heterogeneity in contact patterns. Using this enhanced model, we analyze epidemic data from the 2018-20 Ebola outbreak in the Democratic Republic of the Congo, employing a survival approach combined with the Hamiltonian Monte Carlo method. Our results suggest that network-based models can more effectively capture the heterogeneity of epidemic dynamics compared to traditional compartmental models, without introducing unduly overcomplicated compartmental framework.",2024-12-30,2024-12-30,"https://doi.org/10.48550/arXiv:2501.00187"
"arXiv:2501.00194","Minimal Models for RNA Simulations","D. Thirumalai, Naoto Hori, Hung T. Nguyen","The increasing importance of RNA as a prime player in biology can hardly be overstated. Problems in RNA, such as folding and RNA-RNA interactions that drive phase separation, require cations. Because experiments alone cannot reveal the dynamics of cation-RNA interactions, well calibrated theory and computations are needed to predict how ions control the behavior of RNA. The perspective describes the development and use of coarse-grained models at different resolutions. We focus on single- and three-interaction site interaction models, in which electrostatic interactions are treated using a combination of explicit and implicit representations. Applications to the folding of ribozymes and riboswitches are discussed, with emphasis on the role of monovalent and divalent cations. We also discuss phase separation in low complexity sequences. Challenges in the simulation of complex problems such as ribosome assembly and RNA chaperones, requiring developments of models for RNA-protein interactions, are pointed out.",2025-06-08,2024-12-31,"https://doi.org/10.48550/arXiv:2501.00194"
"arXiv:2501.00278","A data-driven biophysical network model reproduces C. elegans premotor neural dynamics","Megan Morrison, Lai-Sang Young","C. elegans locomotion is composed of switches between forward and reversal states punctuated by turns. This locomotory capability is necessary for the nematode to move towards attractive stimuli, escape noxious chemicals, and explore its environment. Although experimentalists have identified a number of premotor neurons as drivers of forward and reverse motion, how these neurons work together to produce the behaviors observed remains to be understood. Towards a better understanding of C. elegans neurodynamics, we present in this paper a minimally parameterized, biophysical dynamical systems model of the premotor network. Our model consists of a recurrently connected collection of premotor neurons (the core group) driven by over a hundred sensory and interneurons that provide diverse feedforward inputs to the core group. It is data-driven in the sense that the choice of neurons in the core group follows experimental guidance, anatomical structures are dictated by the connectome, and physiological parameters are deduced from whole-brain imaging and voltage clamps data. When simulated with realistic input signals, our model produces premotor activity that closely resembles experimental data: from the seemingly random switching between forward and reversal behaviors to the synchronization of subnetworks to various higher-order statistics. We posit that different roles are played by gap junctions and synaptic connections in switching dynamics. The model correctly predicts behavior such as dwelling versus roaming as a result of the synaptic inputs received, and we demonstrate that it can be used to study how the activity level of certain individual neurons impacts behavior.",2024-12-31,2024-12-31,"https://doi.org/10.48550/arXiv:2501.00278"
"arXiv:2501.00504","The Algonauts Project 2025 Challenge: How the Human Brain Makes Sense of Multimodal Movies","Alessandro T. Gifford, Domenic Bersch, Marie St-Laurent, Basile Pinsard, Julie Boyle, Lune Bellec, Aude Oliva, Gemma Roig, Radoslaw M. Cichy","There is growing symbiosis between artificial and biological intelligence sciences: neural principles inspire new intelligent machines, which are in turn used to advance our theoretical understanding of the brain. To promote further collaboration between biological and artificial intelligence researchers, we introduce the 2025 edition of the Algonauts Project challenge: How the Human Brain Makes Sense of Multimodal Movies (this https URL). In collaboration with the Courtois Project on Neuronal Modelling (CNeuroMod), this edition aims to bring forth a new generation of brain encoding models that are multimodal and that generalize well beyond their training distribution, by training them on the largest dataset of fMRI responses to movie watching available to date. Open to all, the 2025 challenge provides transparent, directly comparable results through a public leaderboard that is updated automatically after each submission to facilitate rapid model assessment and guide development. The challenge will end with a session at the 2025 Cognitive Computational Neuroscience (CCN) conference that will feature winning models. We welcome researchers interested in collaborating with the Algonauts Project by contributing ideas and datasets for future challenges.",2025-01-06,2024-12-31,"https://doi.org/10.48550/arXiv:2501.00504"
"arXiv:2501.00720","Overground gait transitions are not sharp but involve gradually changing walk-run mixtures even over long distances","Nicholas S. Baker, Leroy Long, Manoj Srinivasan","Humans typically walk at low speeds and run at higher speeds. Previous studies of transitions between walking and running were mostly on treadmills, but real-world locomotion allows more flexibility. Here, we study overground locomotion over long distances (800 m or 2400 m) under time constraints, simulating everyday scenarios like going to an appointment. Unlike on treadmills, participants can vary both speed and gait during this task. We find that gait transition in this overground task occurs over a broad `gait transition regime' spanning average speeds from 1.9 m/s to 3.0 m/s. In this regime, people use mixtures of walking and running: mostly walking at low average speeds (around 1.9 m/s) and mostly running at high average speeds (3.0 m/s); the walk vs run fraction gradually changes between these speed limits. Within any walk-run mixture, there is a speed gap between the walking and running. These gait mixtures and their specific structure are predicted by energy optimality. These findings extend earlier results from much shorter distance tasks, showing that similar energetic principles govern longer, more physically and cognitively demanding tasks. Overall, our results highlight the role of whole-task energy minimization including transients in shaping human locomotion.",2025-09-12,2025-01-01,"https://doi.org/10.48550/arXiv:2501.00720"
"arXiv:2501.00723","Metabolic energy expenditure for time-varying isometric forces","Sriram Sekaripuram Muralidhar, Kristen Heitman, Samuel C. Walcott, Manoj Srinivasan","Muscles consume metabolic energy (ATP) to produce force. A mathematical model for energy expenditure can be useful in estimating real-time costs of movements or to predict energy optimal movements. Metabolic cost models developed so far have predominantly aimed at dynamic movement tasks, where mechanical work dominates. Further, while it is known that both force magnitude and rate of change of force (force rate) affect metabolic cost, it is not known how these terms interact, or if the force rate dependence can be a consequence of the force dependence. Here, we performed extensive human subject experiments, involving each subject over 5 hours of metabolic trials, which systematically changed the mean forces and forces rates so as to characterize a holistic relation for metabolic cost based on both force and force rate -- or analogously, torque and torque rate. Our experiments involved humans producing symmetric or asymmetric sinusoidal forces with different means, amplitudes, frequencies, and rise and fall periods. We showed that the metabolic cost can be well-approximated by a sum of power law functions of torque and torque rate. We found that the metabolic cost scales non-linearly with joint torque (with exponent = 1.36) and non-linearly with torque rate (with exponent = 2.5). Surprisingly, the data suggested that the cost was roughly four times higher for decreasing the torque than increasing, mirroring the analogous ratio between the cost of positive and negative work. Using these metabolic cost relations, we show that if the metabolic cost scales with particular exponents with muscle force and force rates, the same exponents will be observed in multi-joint tasks with multiple muscles. Our new metabolic cost model involving both force and force rate will potentially allow better predictions of energy optimal movements and thus inform wearable robot design and analysis.",2025-01-01,2025-01-01,"https://doi.org/10.48550/arXiv:2501.00723"
"arXiv:2501.00730","Evolution of mutating pathogens in networked populations","Aviel Ivry, Reuven Cohen, Amikam Patron","Epidemic spreading over populations networks has been an important subject of research for several decades, and especially during the Covid-19 pandemic. Most epidemic outbreaks are likely to create multiple mutations during their spreading over the population. In this paper, we study the evolution of a pathogen which can mutate continuously during the epidemic spreading. We consider pathogens whose mutating parameter is the mortality mean-time, and study the evolution of this parameter over the spreading process. We use analytical methods to compute the dynamic equation of the epidemic and the conditions for it to spread. We also use numerical simulations to study the pathogen flow in this case, and to understand the mutation phenomena. We show that the natural selection leads to less violent pathogens becoming predominant in the population. We discuss a wide range of network structures and show how different effects are manifested in each case. We also applied our theory in the context of the Covid-19 pandemic, using relevant epidemiological data collected for this outbreak. We provided explanations for the variants spreading processes observed throughout this pandemic.",2025-09-27,2025-01-01,"https://doi.org/10.48550/arXiv:2501.00730"
"arXiv:2501.00767","Infectious diseases, imposing density-dependent mortality on MHC/HLA variation, can account for balancing selection and MHC/HLA polymorphism","D. P. L. Green","The human MHC transplantation loci (HLA-A, -B, -C, -DPB1, -DQB1, -DRB1) are the most polymorphic in the human genome. It is generally accepted this polymorphism reflects a role in presenting pathogen-derived peptide to the adaptive immune system. Proposed mechanisms for the polymorphism such as negative frequency-dependent selection (NFDS) and heterozygote advantage (HA) focus on HLA alleles, not haplotypes. Here, we propose a model for the polymorphism in which infectious diseases impose independent density-dependent regulation on HLA haplotypes. More specifically, a complex pathogen environment drives extensive host polymorphism through a guild of HLA haplotypes that are specialised and show incomplete peptide recognition. Separation of haplotype guilds is maintained by limiting similarity. The outcome is a wide and stable range of haplotype densities at steady-state in which effective Fisher fitnesses are zero. Densities, and therefore frequencies, emerge theoretically as alternative measures of fitness. A catalogue of ranked frequencies is therefore one of ranked fitnesses. The model is supported by data from a range of sources including a Caucasian HLA dataset compiled by the US National Marrow Donor Program (NMDP). These provide evidence of positive selection on the top 350-2000 5-locus HLA haplotypes taken from an overall NMDP sample set of 10E5. High-fitness haplotypes drive the selection of 137 high-frequency alleles spread across the 5 HLA loci under consideration. These alleles demonstrate positive epistasis and pleiotropy in the formation of haplotypes. Allelic pleiotropy creates a network of highly inter-related HLA haplotypes that account for 97% of the census sample. We suggest this network has properties of a quasi-species and is itself under selection. We also suggest this is the origin of balancing selection in the HLA system.",2025-01-01,2025-01-01,"https://doi.org/10.48550/arXiv:2501.00767"
"arXiv:2501.00869","Towards an integrative approach to the study of brain-environment interactions in human and non-human primate","David Thura","By retracing my scientific journey that began 20 years ago, I highlight in this thesis the need to consider the organization of the brain, which is certainly globally hierarchical, but also highly distributed and mixed in the neuronal response of its different areas (by focusing on the sensorimotor cortex-basal ganglia network). I also emphasize the importance of adopting behavioral paradigms that reflect as much as possible the characteristics of the scenarios encountered in the real life of animals. And finally, I mention the importance of ""disintegrating"" the way data analysis is traditionally carried out, and of taking into account the dynamic nature of behavior, for example by favoring the study of behavioral variables and so-called ""latent"" neuronal activities. I conclude this thesis by presenting the vision of my ideal laboratory in a perspective of 5 to 10 years from today. This laboratory would have two experimental devices, a first, classic, for carrying out tests in a constrained and therefore unnatural environment, the data of which would be compared to those from a second device called ""naturalistic"" in which the animals could potentially express their entire behavioral repertoire. The tasks tested would be characterized by strong ecological principles, such as in those simulating the properties of foraging, and the data would make it possible to test hypotheses based on the progressive addition of ecological components in these tasks, all this in order to maintain control over the interpretability of these data which are complex by nature.",2025-01-01,2025-01-01,"https://doi.org/10.48550/arXiv:2501.00869"
